post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
149464327.the-proofreaders-illusion,2024-09-26T20:17:47.842Z,true,2024-09-26T20:17:48.187Z,2024-09-26T20:17:48.187Z,newsletter,everyone,The Proofreader's Illusion,,
149337600.the-truth-about-the-lie-detector,2024-09-24T12:41:21.472Z,true,2024-09-24T12:41:21.681Z,2024-09-24T12:41:21.681Z,newsletter,everyone,The Truth About The Lie Detector Test,,
149238415.all-about-psychology-newsletter-5b3,2024-09-22T13:37:54.387Z,true,2024-09-22T13:37:57.069Z,2024-09-22T13:37:57.069Z,newsletter,everyone,All About Psychology Newsletter,Misophonia – When Certain Sounds Drive You Crazy. Fifty Shades of Gray (Minus 49!). Emma and Carl Jung. What are the signs and causes of an existential crisis?,
149146439.classic-psychology-journal-articles,2024-09-20T11:59:01.887Z,true,2024-09-20T11:59:02.093Z,2024-09-20T11:59:02.093Z,newsletter,everyone,Classic Psychology Journal Articles,,
149112114.sisu,2024-09-19T19:00:56.975Z,true,2024-09-19T19:00:57.430Z,2024-09-19T19:00:57.430Z,newsletter,everyone,Sisu,Unraveling the Finnish Spirit of Perseverance,
149050482.significant-aspects-of-client-centered,2024-09-18T12:02:45.524Z,true,2024-09-18T12:02:45.702Z,2024-09-18T12:02:45.702Z,newsletter,only_paid,Significant Aspects of Client-Centered Therapy by Carl Rogers,Free Giveaway,
148970277.all-about-psychology-newsletter-3ee,2024-09-16T20:47:40.581Z,true,2024-09-16T20:47:40.796Z,2024-09-16T20:47:40.796Z,newsletter,everyone,All About Psychology Newsletter,When Does Hungry Become Hangry? 'Moral and Physical Causes of Insanity'. Satanic messages in Rock music! How to Deal With Regret. The Feeling of Being Stared At. Psychology Book Marketing.,
148914080.types-of-psychology,2024-09-15T10:50:25.921Z,true,2024-09-15T10:50:26.073Z,2024-09-15T10:50:26.073Z,newsletter,everyone,Types of Psychology,,
148913997.ad2,,false,,,newsletter,only_paid,,,
148890874.words-that-reshape-our-inner-world,2024-09-14T17:04:41.708Z,true,2024-09-14T17:04:41.877Z,2024-09-14T17:04:41.877Z,newsletter,everyone,Words That Reshape Our Inner World,"Neologisms Every Psychology Enthusiast Should Know. ""Sonder""",
148839836.friday-the-13th,2024-09-13T08:01:40.595Z,true,2024-09-13T08:01:40.839Z,2024-09-13T08:01:40.839Z,newsletter,everyone,Friday the 13th!,Just chillax and read 'Superstition in The Pigeon' By B.F. Skinner.,
148799701.the-myth-of-mental-illness-by-thomas,2024-09-12T07:45:40.510Z,true,2024-09-12T07:45:40.658Z,2024-09-12T07:45:40.658Z,newsletter,only_paid,The Myth of Mental Illness By Thomas Szasz,PDF Download,
148776919.the-birthday-paradox,2024-09-11T18:11:40.987Z,true,2024-09-11T18:11:41.105Z,2024-09-11T18:11:41.105Z,newsletter,everyone,The Birthday Paradox,Surprising Coincidences Are More Likely Than You Realize!,
148721109.content-analysis-studies-of-psychotherapy,,false,,,newsletter,only_paid,,,
148641820.the-haunted-swing-illusion,2024-09-08T12:12:24.304Z,true,2024-09-08T12:12:24.450Z,2024-09-08T12:12:24.450Z,newsletter,only_paid,The 'Haunted Swing' illusion,,
148641774.bca,,false,,,newsletter,only_paid,,,
148605213.all-about-psychology-newsletter-f81,2024-09-07T14:38:51.345Z,true,2024-09-07T14:38:51.476Z,2024-09-07T14:38:51.476Z,newsletter,everyone,All About Psychology Newsletter,Real Life Cases of Amnesia That Are Stranger Than Fiction. The Craving To Be Appreciated. Type 1 and Type 2 Errors. Coping with loneliness.,
148605205.e19,,false,,,newsletter,only_paid,,,
148493971.bf-skinner-vs-carl-rogers,2024-09-04T14:45:01.725Z,true,2024-09-04T14:45:01.862Z,2024-09-04T14:45:01.862Z,newsletter,only_paid,B.F. Skinner vs. Carl Rogers,Some Issues Concerning The Control of Human Behavior,
148406447.all-about-psychology-newsletter-005,2024-09-02T19:34:27.904Z,true,2024-09-02T19:34:28.018Z,2024-09-02T19:34:28.018Z,newsletter,everyone,All About Psychology Newsletter,What Do Genes Have to Do with Psychology? Maxims To Live Your Life By. Is the term abnormal psychology fit for purpose? Helicopter parenting. The proofreader's illusion.,
148177596.all-about-psychology-newsletter-d07,2024-08-27T14:59:27.324Z,true,2024-08-27T14:59:27.473Z,2024-08-27T14:59:27.473Z,newsletter,everyone,All About Psychology Newsletter,"How to Tell if a Conspiracy Theory Is Probably False. Flashed Face Distortion Effect. Why We Love Superheroes. A Detective's History of Psychology. It's psychology Jim, but not as we know it!",
147965153.all-about-psychology-newsletter,2024-08-21T16:01:35.161Z,true,2024-08-21T16:01:35.391Z,2024-08-21T16:01:35.391Z,newsletter,everyone,All About Psychology Newsletter,Understanding Folie à Deux: Shared Psychosis Explained. Test Your Powers of Perception. The IKEA effect. Journal of Forensic Psychology.,
147963981.5d1,,false,,,newsletter,everyone,,,
147942693.b26,,false,,,newsletter,everyone,,,
147923915.the-all-about-psychology-newsletter,2024-08-20T13:59:19.078Z,true,2024-08-20T13:59:19.236Z,2024-08-20T13:59:19.236Z,newsletter,everyone,The All About Psychology Newsletter Has Moved to Substack!,,
147885089.coming-soon,2024-08-19T14:46:36.292Z,true,2024-08-19T14:46:36.292Z,2024-08-19T14:46:36.292Z,newsletter,everyone,Coming soon,,
147885088.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
